"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","alc_use","high_use","guardian","traveltime","studytime","schoolsup","famsup","activities","higher","romantic","famrel","freetime","health","goout","Walc","Dalc","failures","paid","absences","G1","G2","G3"
"GP","F",15,"R","GT3","T",1,1,"at_home","other","home","yes","yes",1,FALSE,"mother",2,4,"yes","yes","yes","yes","no",3,1,1,2,1,1,0,"yes",3,10,12,12
"GP","F",15,"R","GT3","T",1,1,"other","other","reputation","no","yes",3,TRUE,"mother",1,2,"yes","yes","no","yes","yes",3,3,5,4,4,2,1,"no",2,10,8,8
"GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","yes","no",1,FALSE,"mother",1,1,"yes","yes","yes","yes","no",4,3,2,1,1,1,0,"no",8,14,13,12
"GP","F",15,"R","GT3","T",2,4,"services","health","course","yes","yes",1,FALSE,"mother",1,3,"yes","yes","yes","yes","no",4,3,5,2,1,1,0,"no",2,10,10,9
"GP","F",15,"R","GT3","T",3,3,"services","services","reputation","yes","yes",2.5,TRUE,"other",2,3,"no","yes","yes","yes","yes",4,2,3,1,3,2,1,"yes",5,12,12,12
"GP","F",15,"R","GT3","T",3,4,"services","health","course","yes","yes",1,FALSE,"mother",1,3,"yes","yes","yes","yes","no",4,3,5,2,1,1,0,"no",2,12,12,12
"GP","F",15,"R","GT3","T",3,4,"services","teacher","course","yes","yes",2,FALSE,"father",2,3,"no","yes","no","yes","yes",4,2,5,2,2,2,1,"no",0,11,6,6
"GP","F",15,"R","LE3","T",2,2,"health","services","reputation","yes","yes",2,FALSE,"mother",2,2,"yes","yes","no","yes","no",4,1,4,3,3,1,0,"no",1,10,10,10
"GP","F",15,"R","LE3","T",3,1,"other","other","reputation","no","yes",2.5,TRUE,"father",2,4,"no","yes","no","yes","no",4,4,3,2,3,2,0,"no",9,16,16,16
"GP","F",15,"U","GT3","A",3,3,"other","health","reputation","yes","no",1,FALSE,"father",1,4,"yes","no","no","yes","no",4,3,4,3,1,1,0,"no",10,10,10,10
"GP","F",15,"U","GT3","A",4,3,"services","services","reputation","yes","yes",1,FALSE,"mother",1,2,"no","yes","yes","yes","no",4,3,1,2,1,1,0,"no",0,14,14,15
"GP","F",15,"U","GT3","T",1,1,"at_home","other","course","no","yes",1.5,FALSE,"mother",3,1,"no","yes","yes","yes","yes",4,3,4,3,2,1,0,"no",3,10,6,6
"GP","F",15,"U","GT3","T",1,1,"other","other","home","no","yes",2.5,TRUE,"father",1,2,"no","yes","yes","yes","no",4,3,4,2,3,2,0,"no",2,11,11,11
"GP","F",15,"U","GT3","T",1,1,"other","services","course","yes","yes",1.5,FALSE,"father",1,2,"no","yes","no","yes","no",4,4,5,2,2,1,0,"no",0,10,12,12
"GP","F",15,"U","GT3","T",1,2,"at_home","other","course","no","yes",1,FALSE,"mother",1,2,"no","yes","no","yes","no",4,3,5,2,1,1,0,"no",4,12,12,12
"GP","F",15,"U","GT3","T",1,2,"at_home","services","course","no","yes",1.5,FALSE,"mother",1,2,"no","no","no","yes","no",3,2,1,3,2,1,0,"no",1,15,14,14
"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","yes","yes",1,FALSE,"father",3,3,"no","yes","yes","yes","no",5,2,4,2,1,1,0,"no",2,10,12,12
"GP","F",15,"U","GT3","T",2,2,"other","other","course","yes","yes",1,FALSE,"mother",1,4,"yes","yes","no","yes","no",5,1,3,2,1,1,0,"no",6,8,9,9
"GP","F",15,"U","GT3","T",2,3,"other","other","other","yes","no",1,FALSE,"father",2,1,"no","yes","yes","yes","no",3,5,5,1,1,1,0,"no",2,10,9,8
"GP","F",15,"U","GT3","T",3,2,"health","services","home","yes","yes",1,FALSE,"father",1,2,"no","yes","no","yes","no",3,3,3,2,1,1,2,"no",1,8,9,6
"GP","F",15,"U","GT3","T",3,2,"services","other","home","yes","yes",1,FALSE,"mother",2,2,"yes","yes","no","yes","no",4,3,2,5,1,1,0,"no",21,9,8,8
"GP","F",15,"U","GT3","T",4,2,"health","services","home","yes","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","yes",3,2,5,2,1,1,0,"no",1,14,14,14
"GP","F",15,"U","GT3","T",4,2,"other","other","reputation","yes","yes",2,FALSE,"mother",1,3,"no","yes","yes","yes","no",5,3,1,3,3,1,0,"no",4,14,14,14
"GP","F",15,"U","GT3","T",4,3,"services","other","reputation","yes","yes",2,FALSE,"mother",1,1,"no","no","yes","yes","no",4,5,1,5,3,1,0,"no",5,15,15,16
"GP","F",15,"U","GT3","T",4,4,"services","at_home","course","yes","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","yes",4,3,5,3,1,1,0,"no",2,12,7,8
"GP","F",15,"U","GT3","T",4,4,"services","services","course","yes","yes",2.5,TRUE,"mother",1,1,"yes","yes","no","yes","no",3,3,5,4,3,2,0,"no",0,10,11,12
"GP","F",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes",2.5,TRUE,"father",2,2,"no","no","no","yes","yes",4,4,5,4,3,2,1,"no",5,10,10,10
"GP","F",15,"U","GT3","T",4,4,"services","teacher","other","no","yes",1,FALSE,"father",1,2,"yes","yes","yes","yes","no",4,4,3,4,1,1,0,"no",2,10,10,10
"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","yes","yes",1.5,FALSE,"mother",1,2,"no","yes","no","yes","no",3,3,2,3,2,1,0,"no",1,12,11,12
"GP","F",15,"U","GT3","T",4,4,"teacher","services","course","yes","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","no",4,2,5,2,1,1,0,"no",2,11,12,12
"GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes",1,FALSE,"mother",2,1,"no","no","yes","yes","no",4,3,5,2,1,1,0,"no",3,14,15,14
"GP","F",15,"U","LE3","A",3,3,"other","other","other","yes","yes",4,TRUE,"mother",1,1,"no","no","no","yes","no",5,3,1,4,4,4,0,"no",3,12,12,13
"GP","F",15,"U","LE3","A",3,4,"other","other","home","yes","yes",1,FALSE,"mother",1,2,"yes","no","yes","yes","yes",5,3,1,2,1,1,0,"no",0,8,10,11
"GP","F",15,"U","LE3","A",4,3,"other","other","course","yes","yes",1,FALSE,"mother",1,2,"yes","yes","yes","yes","yes",5,2,5,2,1,1,0,"yes",6,9,10,8
"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","yes","yes",2.5,TRUE,"mother",1,2,"yes","no","no","yes","no",4,3,3,2,3,2,2,"no",8,10,10,11
"GP","F",15,"U","LE3","T",3,2,"services","other","reputation","yes","yes",1,FALSE,"mother",1,2,"no","yes","no","yes","no",4,4,5,4,1,1,0,"no",7,10,8,8
"GP","F",15,"U","LE3","T",4,2,"health","other","other","yes","yes",1,FALSE,"mother",1,2,"no","yes","no","yes","no",4,3,5,3,1,1,0,"no",1,14,14,14
"GP","F",15,"U","LE3","T",4,3,"services","services","reputation","yes","yes",3,TRUE,"father",1,2,"yes","no","yes","yes","yes",4,4,2,4,4,2,0,"no",0,12,11,11
"GP","F",16,"R","GT3","T",2,2,"services","services","reputation","no","yes",1,FALSE,"mother",2,4,"no","yes","yes","yes","no",5,3,5,5,1,1,0,"no",6,12,12,12
"GP","F",16,"R","GT3","T",3,3,"services","other","reputation","yes","yes",1,FALSE,"father",1,3,"yes","yes","yes","yes","no",4,1,2,2,1,1,0,"no",2,9,10,10
"GP","F",16,"R","GT3","T",4,4,"health","teacher","other","yes","no",2.5,TRUE,"mother",1,2,"no","yes","yes","yes","no",2,4,4,4,3,2,0,"no",3,14,14,14
"GP","F",16,"U","GT3","A",2,1,"other","other","other","yes","yes",1,FALSE,"mother",1,2,"no","no","yes","yes","yes",5,3,2,4,1,1,0,"no",5,10,11,11
"GP","F",16,"U","GT3","A",2,2,"other","other","reputation","yes","yes",1,FALSE,"mother",1,2,"yes","yes","no","yes","no",3,3,4,4,1,1,0,"no",0,12,13,14
"GP","F",16,"U","GT3","A",3,1,"services","other","course","yes","yes",2,FALSE,"mother",1,2,"no","yes","no","yes","no",2,3,4,3,2,2,2,"no",4,9,9,10
"GP","F",16,"U","GT3","A",3,3,"other","other","course","no","yes",1,FALSE,"other",2,1,"no","yes","yes","yes","yes",4,3,5,2,1,1,1,"no",2,6,4,5
"GP","F",16,"U","GT3","A",3,4,"services","other","course","yes","yes",2.5,TRUE,"father",1,1,"no","no","no","yes","no",3,2,5,1,4,1,0,"no",14,14,12,12
"GP","F",16,"U","GT3","T",1,1,"at_home","other","home","yes","no",2.5,TRUE,"mother",2,1,"no","yes","no","yes","no",4,3,5,2,4,1,0,"no",4,10,11,12
"GP","F",16,"U","GT3","T",1,1,"services","services","course","no","yes",5,TRUE,"father",4,1,"yes","yes","yes","yes","yes",5,5,5,5,5,5,0,"no",3,10,9,14
"GP","F",16,"U","GT3","T",1,3,"at_home","services","home","no","yes",1,FALSE,"mother",1,2,"no","no","yes","yes","yes",4,3,3,5,1,1,2,"no",0,11,10,6
"GP","F",16,"U","GT3","T",2,1,"other","other","course","yes","no",1,FALSE,"mother",1,2,"no","yes","no","yes","yes",4,3,5,5,1,1,0,"no",1,10,10,11
"GP","F",16,"U","GT3","T",2,1,"other","other","home","yes","yes",1,FALSE,"mother",1,1,"no","no","no","yes","yes",4,5,5,2,1,1,0,"no",12,11,11,11
"GP","F",16,"U","GT3","T",2,2,"at_home","other","home","yes","yes",1,FALSE,"mother",1,2,"yes","no","yes","yes","no",3,1,5,2,1,1,1,"no",9,9,12,12
"GP","F",16,"U","GT3","T",2,2,"other","other","home","yes","yes",1,FALSE,"mother",1,2,"no","no","no","yes","yes",5,4,5,4,1,1,0,"no",0,10,9,10
"GP","F",16,"U","GT3","T",2,2,"other","other","home","no","yes",1,FALSE,"mother",1,2,"no","yes","no","yes","no",5,1,4,5,1,1,0,"no",0,9,10,6
"GP","F",16,"U","GT3","T",2,2,"other","other","reputation","yes","yes",2,FALSE,"mother",1,4,"no","no","no","yes","yes",5,2,3,3,3,1,0,"no",0,12,12,12
"GP","F",16,"U","GT3","T",2,2,"services","other","reputation","no","yes",2.5,TRUE,"mother",2,2,"no","no","yes","yes","no",3,4,5,4,4,1,0,"no",1,13,12,12
"GP","F",16,"U","GT3","T",2,2,"services","services","home","no","yes",2,FALSE,"mother",1,1,"no","yes","no","yes","no",1,2,5,2,3,1,1,"no",10,8,10,10
"GP","F",16,"U","GT3","T",2,3,"other","other","reputation","yes","no",2,FALSE,"mother",1,2,"yes","yes","yes","yes","no",4,4,4,3,3,1,0,"no",5,10,11,11
"GP","F",16,"U","GT3","T",2,3,"services","services","course","yes","yes",1,FALSE,"mother",1,2,"no","no","no","yes","no",4,3,2,3,1,1,0,"no",8,12,12,13
"GP","F",16,"U","GT3","T",2,3,"services","teacher","other","yes","yes",1,FALSE,"mother",1,2,"yes","no","no","yes","no",2,3,3,1,1,1,0,"no",1,14,14,16
"GP","F",16,"U","GT3","T",3,1,"services","other","course","yes","yes",1.5,FALSE,"mother",1,4,"yes","yes","no","yes","no",4,3,5,3,2,1,0,"no",2,8,8,8
"GP","F",16,"U","GT3","T",3,2,"other","other","reputation","yes","yes",1.5,FALSE,"mother",1,2,"no","yes","no","yes","no",1,2,1,2,2,1,0,"no",11,13,14,14
"GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","no",1.5,FALSE,"father",1,2,"no","yes","no","yes","no",4,3,5,2,2,1,0,"no",2,8,12,12
"GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","yes",2,FALSE,"mother",1,3,"no","yes","no","yes","yes",4,3,4,3,3,1,0,"no",1,8,9,10
"GP","F",16,"U","GT3","T",3,3,"other","other","reputation","yes","no",1,FALSE,"mother",3,2,"yes","yes","yes","yes","no",5,3,4,2,1,1,0,"no",3,10,12,12
"GP","F",16,"U","GT3","T",3,3,"other","services","home","yes","yes",3,TRUE,"mother",1,2,"yes","yes","yes","yes","no",4,3,5,3,4,2,0,"no",29,11,12,11
"GP","F",16,"U","GT3","T",3,4,"at_home","other","course","yes","yes",1.5,FALSE,"mother",1,2,"no","yes","no","yes","no",2,4,3,3,2,1,0,"no",13,8,8,8
"GP","F",16,"U","GT3","T",4,2,"health","services","home","yes","yes",1,FALSE,"father",1,2,"no","no","no","yes","yes",4,2,3,3,1,1,0,"no",0,16,16,17
"GP","F",16,"U","GT3","T",4,2,"services","other","course","yes","yes",1,FALSE,"mother",1,2,"no","yes","no","yes","no",4,2,5,3,1,1,0,"yes",2,16,16,16
"GP","F",16,"U","GT3","T",4,2,"teacher","services","home","yes","yes",1,FALSE,"mother",2,2,"no","yes","yes","yes","no",5,3,1,3,1,1,0,"no",1,12,12,12
"GP","F",16,"U","GT3","T",4,3,"health","other","home","yes","yes",3,TRUE,"mother",1,2,"no","yes","yes","yes","no",4,3,2,5,5,1,0,"no",2,15,15,16
"GP","F",16,"U","GT3","T",4,3,"other","at_home","course","yes","yes",1,FALSE,"mother",1,3,"yes","yes","no","yes","no",5,3,3,5,1,1,0,"no",1,10,11,10
"GP","F",16,"U","GT3","T",4,3,"teacher","health","home","yes","yes",3,TRUE,"mother",1,3,"yes","yes","yes","yes","no",3,4,4,4,4,2,0,"no",1,12,11,11
"GP","F",16,"U","GT3","T",4,3,"teacher","other","other","yes","yes",1,FALSE,"mother",1,2,"no","no","yes","yes","yes",1,3,1,2,1,1,0,"no",7,12,14,14
"GP","F",16,"U","GT3","T",4,4,"health","health","reputation","yes","yes",1,FALSE,"mother",1,2,"no","yes","no","yes","yes",4,4,3,2,1,1,0,"no",0,15,15,16
"GP","F",16,"U","GT3","T",4,4,"health","other","home","yes","yes",1.5,FALSE,"mother",1,1,"no","yes","no","yes","no",4,4,2,4,2,1,0,"no",5,16,16,16
"GP","F",16,"U","GT3","T",4,4,"other","other","reputation","no","yes",1.5,FALSE,"mother",1,1,"no","no","yes","yes","no",5,3,1,4,2,1,0,"no",5,12,14,14
"GP","F",16,"U","GT3","T",4,4,"services","services","reputation","yes","yes",1.5,FALSE,"mother",1,3,"no","yes","yes","yes","no",3,2,2,3,2,1,0,"no",8,13,14,14
"GP","F",16,"U","GT3","T",4,4,"teacher","services","home","no","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","no",5,3,5,2,1,1,0,"no",2,14,14,15
"GP","F",16,"U","LE3","A",3,3,"other","services","home","yes","yes",2.5,TRUE,"mother",1,2,"no","yes","no","yes","no",2,3,3,5,4,1,0,"no",9,12,12,12
"GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","yes","yes",3,TRUE,"mother",1,1,"no","no","no","yes","no",3,4,1,4,3,3,0,"no",3,12,12,12
"GP","F",16,"U","LE3","T",1,2,"other","services","reputation","yes","yes",1,FALSE,"father",1,2,"yes","no","yes","yes","no",4,4,1,3,1,1,0,"no",2,10,12,10
"GP","F",16,"U","LE3","T",2,2,"at_home","other","course","yes","no",1.5,FALSE,"mother",1,2,"no","yes","no","yes","no",4,3,2,4,2,1,0,"no",5,10,9,8
"GP","F",16,"U","LE3","T",2,2,"other","at_home","course","yes","yes",2,FALSE,"father",2,2,"yes","no","yes","yes","no",4,3,5,3,2,2,1,"no",14,10,10,10
"GP","F",16,"U","LE3","T",2,2,"other","other","home","no","yes",1.5,FALSE,"mother",2,2,"no","yes","yes","yes","yes",3,3,3,3,2,1,0,"no",20,9,10,10
"GP","F",16,"U","LE3","T",2,2,"services","services","course","yes","yes",2.5,TRUE,"mother",3,2,"no","yes","no","yes","no",4,3,4,3,3,2,0,"no",1,13,13,13
"GP","F",16,"U","LE3","T",2,4,"other","health","course","yes","yes",1.5,FALSE,"father",2,2,"no","yes","yes","yes","yes",4,2,5,2,2,1,0,"no",2,14,12,13
"GP","F",16,"U","LE3","T",3,1,"other","other","home","yes","no",2.5,TRUE,"father",1,2,"yes","yes","no","yes","no",3,3,2,3,3,2,0,"no",2,10,10,9
"GP","F",16,"U","LE3","T",3,3,"other","other","reputation","yes","yes",1,FALSE,"mother",2,2,"no","yes","yes","yes","no",4,4,4,5,1,1,0,"no",2,12,12,12
"GP","F",16,"U","LE3","T",4,3,"teacher","services","course","yes","yes",1.5,FALSE,"mother",3,2,"no","yes","yes","yes","no",5,4,1,3,2,1,0,"no",2,16,15,16
"GP","F",16,"U","LE3","T",4,4,"health","health","other","yes","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","yes",5,4,4,5,1,1,0,"no",3,14,15,15
"GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","yes","yes",1.5,FALSE,"mother",1,2,"no","yes","no","yes","no",4,5,3,2,2,1,0,"no",0,10,10,10
"GP","F",17,"R","GT3","A",3,2,"other","other","home","yes","yes",2.5,TRUE,"mother",1,2,"no","yes","no","yes","no",4,3,2,3,3,2,0,"no",2,12,12,13
"GP","F",17,"R","GT3","T",2,1,"at_home","services","course","yes","no",1,FALSE,"mother",3,2,"no","no","yes","yes","no",2,1,3,1,1,1,0,"no",2,13,12,12
"GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","yes","yes",1.5,FALSE,"mother",2,2,"no","yes","yes","yes","no",4,2,5,5,2,1,0,"no",1,8,8,8
"GP","F",17,"R","GT3","T",2,2,"other","other","reputation","yes","yes",1.5,FALSE,"mother",1,1,"no","yes","no","yes","no",5,3,3,2,2,1,0,"no",20,10,10,10
"GP","F",17,"R","GT3","T",2,4,"at_home","other","course","yes","yes",1,FALSE,"father",1,3,"no","yes","no","yes","yes",4,4,5,3,1,1,0,"no",4,14,14,14
"GP","F",17,"R","GT3","T",3,4,"at_home","services","course","no","yes",3.5,TRUE,"father",1,3,"no","yes","yes","yes","no",4,3,5,4,5,2,0,"no",1,13,13,14
"GP","F",17,"R","GT3","T",4,3,"teacher","other","reputation","yes","yes",1,FALSE,"mother",2,3,"no","yes","yes","yes","yes",4,4,4,2,1,1,0,"no",3,9,10,10
"GP","F",17,"R","LE3","T",2,2,"services","services","course","yes","yes",2,FALSE,"mother",1,3,"no","yes","yes","yes","no",3,3,3,2,2,2,0,"no",2,11,11,10
"GP","F",17,"R","LE3","T",3,1,"services","other","reputation","yes","no",1,FALSE,"mother",2,4,"no","yes","no","yes","no",3,1,3,2,1,1,0,"no",3,18,18,18
"GP","F",17,"R","LE3","T",4,4,"services","other","other","yes","no",1.5,FALSE,"mother",1,1,"no","yes","no","yes","no",5,2,3,1,2,1,0,"no",9,10,10,10
"GP","F",17,"U","GT3","A",2,1,"other","other","course","yes","yes",1.5,FALSE,"mother",2,3,"no","no","yes","yes","yes",3,2,3,3,2,1,0,"no",5,14,12,14
"GP","F",17,"U","GT3","A",2,2,"at_home","at_home","home","yes","yes",1.5,FALSE,"father",1,2,"no","yes","no","yes","yes",3,3,4,1,2,1,0,"no",9,10,10,7
"GP","F",17,"U","GT3","A",3,3,"health","other","reputation","no","yes",2,FALSE,"mother",1,2,"no","yes","no","yes","yes",3,3,3,3,3,1,0,"no",8,10,10,12
"GP","F",17,"U","GT3","A",4,3,"services","services","course","yes","yes",1.5,FALSE,"mother",1,2,"no","yes","no","yes","yes",5,2,5,2,2,1,0,"no",18,14,14,15
"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","yes","no",1,FALSE,"mother",2,2,"yes","yes","no","yes","no",4,1,1,4,1,1,0,"no",4,8,9,10
"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","no","yes",1,FALSE,"father",1,2,"no","yes","no","yes","no",5,3,3,3,1,1,0,"no",3,7,8,8
"GP","F",17,"U","GT3","T",1,1,"at_home","other","reputation","yes","no",1,FALSE,"mother",1,3,"no","yes","yes","yes","yes",4,3,5,4,1,1,0,"no",6,9,8,6
"GP","F",17,"U","GT3","T",1,1,"at_home","services","course","yes","yes",1,FALSE,"mother",1,2,"no","no","yes","yes","no",5,3,3,3,1,1,0,"no",0,10,10,10
"GP","F",17,"U","GT3","T",1,1,"other","other","course","no","no",2,FALSE,"mother",1,2,"no","yes","no","yes","no",4,4,1,4,3,1,0,"no",2,12,12,12
"GP","F",17,"U","GT3","T",1,1,"services","teacher","reputation","yes","yes",1,FALSE,"mother",1,3,"no","yes","no","yes","no",4,3,3,3,1,1,0,"no",3,13,12,13
"GP","F",17,"U","GT3","T",2,2,"at_home","at_home","course","yes","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","no",4,3,4,3,1,1,0,"no",2,10,11,12
"GP","F",17,"U","GT3","T",2,2,"other","other","course","no","yes",1.5,FALSE,"mother",1,2,"no","yes","no","yes","no",5,4,5,5,2,1,0,"no",8,11,10,12
"GP","F",17,"U","GT3","T",2,2,"other","other","course","yes","no",1,FALSE,"mother",1,2,"no","yes","no","yes","yes",4,2,3,2,1,1,0,"no",8,12,11,11
"GP","F",17,"U","GT3","T",2,3,"at_home","other","home","yes","no",2.5,TRUE,"father",2,1,"no","yes","no","yes","no",3,3,3,3,4,1,0,"no",4,10,10,10
"GP","F",17,"U","GT3","T",2,4,"at_home","health","reputation","yes","yes",1,FALSE,"mother",2,2,"no","yes","no","yes","yes",4,3,1,3,1,1,0,"no",4,12,13,13
"GP","F",17,"U","GT3","T",2,4,"services","services","reputation","yes","no",2.5,TRUE,"father",1,2,"no","yes","yes","yes","no",5,4,5,2,3,2,0,"no",0,16,18,17
"GP","F",17,"U","GT3","T",3,1,"services","services","course","no","yes",2.5,TRUE,"father",1,3,"no","yes","no","yes","no",3,4,5,3,3,2,0,"no",0,14,16,16
"GP","F",17,"U","GT3","T",3,2,"health","health","reputation","no","yes",1.5,FALSE,"father",1,4,"no","yes","yes","yes","no",5,2,5,2,2,1,0,"no",0,18,18,18
"GP","F",17,"U","GT3","T",3,2,"other","other","course","no","yes",2,FALSE,"mother",1,2,"no","no","yes","yes","no",5,3,3,4,3,1,0,"no",6,16,16,16
